id,english,tigrinya,domain
699,Employee shall be entitled to convalescence pay as stipulated in the law governing Hourly Employment.,????? ??? ???? ??? ????? ?? ????? ?? ???? ???? ???? ??? ????,legal
700,11,11,legal
701,Pension,???,legal
702,Employee shall be entitled to payment of pension contributions as stipulated in the law governing Hourly Employment.,????? ??? ???? ??? ????? ?? ????? ?? ??? ????? ???? ??? ????,legal
703,16,16,legal
704,Advance Study Fund,??? ????? ???,legal
705,Employee shall be entitled to the payment contributions for advance study fund as stipulated in the law governing Hourly Employment as of its first day of work.,????? ?? ????? ???? ??? ??? ??? ???? ??? ????? ?? ????? ?? ???? ??????? ?? ??? ????? ??? ???? ??? ????,legal
706,17,17,legal
707,Notices and Addresses,??????? ???????,legal
708,18.1  The addresses of the parties for all matters related to this Contract:,18.1 ?????? ???? ???? ??? ??? ?????? ?????,legal
709,Employer:,?????,legal
710,"6 <163>Af’al St., Petah Tikva</163>","6 <163>Af’al St., Petah Tikva</163>",legal
711,Employee:,??????,legal
712,_____________________________________________,_____________________________________________,legal
713,18.2.,18.2.,legal
714,A notice sent by one party to the other shall be deemed as received three days following the date it is submitted for dispatch via registered mail.,?? ??? ??? ??? ??? ???? ???? ??????? ??? ????? ?? ????? ??? ??? ??? ???? ???? ??????? ?????,legal
715,"IN WITNESS WHEREOF the parties have signed,",?? ?????? ??? ???? ?????,legal
716,___________________    ___________________,___________________    ___________________,legal
717,         Employer      Employee,         ????      ?????,legal
718,<1>Candidate Name: </1>Ry Armstrong (they/them),<1>?? ???? </1>Ry Armstrong (they/them),legal
719,<1>Campaign Name:</1> Armstrong for All,<1>?? ??? ????</1> Armstrong ???,legal
720,<1>Campaign website:</1> armstrongforall.com,<1>???? ???? ??? ????</1> armstrongforall.com,legal
721,<1>City Position:</1> Mayor of Seattle,<1>???? ????? ????</1> Mayor of Seattle,legal
722,Campaign Telephone Number: <1>+1 206-657-6287</1>,??? ???? ??? ???? <1>+1 206-657-6287</1>,legal
723,"In the heart of Seattle, I stand as labor organizer, following in my family’s footsteps.",?? ???? ??? Seattle? ??? ??? ??? ?????? ????? ???? ??????? ??? ????? ????,legal
724,I never back down from a challenge.,??? ??? ?? ???? ??? ???? ?? ???,legal
725,"I have spent years fighting for workers’ rights, affordable housing, and the arts.",???? ???????? ????? ?? ???? ????? ??-???? ???? ???? ???? ???,legal
726,"As Co-Executive Director of Sustainable Seattle, I work for a cleaner, fairer city that protects the most vulnerable among us.",?? ???? ??? ?????? Sustainable Seattle ???? ??????? ?? ???? ????? ???? ????? ????? ???? ?????? ??? ????? ????? ?????,legal
727,"For five years, I have organized with labor unions and now serve on the AFL-CIO National Council of AEA, representing 50,000 creative workers to push for fair pay, safety, and benefits.","????? ???? ???? ?? ??????? ???? ????? ??? ???? ??? ???’? ?? ??? ?50,000 ??????? ??-??? ??? ????? ???? ????? ?????? ???? ???? ?? ??? AEA AFL-CIO ????? ????",legal
728,My time on the Seattle LGBTQ Commission and years of advocacy taught me how city government works.,?? Seattle LGBTQ ???? ?????? ??? ?? ?????? ??????? ????? ?? ??? ????? ??? ?? ???? ???? ???,legal
729,I believe public transit should offer reduced or free fares to help working families travel throughout our city and reduce emissions to help climate change.,?? ???? ????? ????? ?????? ?? ??? ??????? ?????? ???? ??? ??? ????? ???? ??? ?? ?????? ???? ?? ??? ?????? ??? ??? ??? ???? ????,legal
730,"I plan to add 1,000 shelter beds in my first 100 days.",??? ???? ???? ???? ???? 100 ????? ?? ???? ?? ????? 1000 ???? ???? ??? ????,legal
731,Changing land use rules will help us build childcare centers and make Seattle stronger.,???? ????? ????? ??? ????? ???? ???? ?????? ?Seattle ?????? ????? ???,legal
732,I won’t back down in 2025—our city is ready to fight for a better future.,?? 2025 ?.? ??? ????? ??? ???? ???? ??? ????? ???? ???,legal
733,I ask for your support.,????? ????? ???????,legal
734,Let’s put people first.,??? ????? ?????,legal
735,Solidarity!,????!,legal
736,This candidate is participating in the Democracy Voucher Program.,??? ??? ???? ?? ????? ???? ????? ???? ????,legal
737,Candidate Name: <1>Rory O’Sullivan</1>,?? ???? <1>Rory O’Sullivan</1>,legal
738,<1>Campaign Name:</1> Friends of Rory O’Sullivan,<1>?? ??? ????</1> ?? Rory O’Sullivan ?????,legal
739,Campaign Website: <1>www.electrory.com</1>,???? ???? ???? <1>www.electrory.com</1>,legal
740,City Position: <1>City Attorney</1>,??? ???? ????? ???? <1>City Attorney</1>,legal
741,Campaign Telephone Number: <1>206-356-9852</1>,??? ???? ??? ???? <1>206-356-9852</1>,legal
742,Seattle deserves a City Attorney who prioritizes making our city safer.,Seattle ????? ???? ????? City Attorney ????? ???? ???,legal
743,"We’re all anti-crime, but being anti-crime isn’t enough.",???? ?? ??? ??? ?? ??? ??? ??? ?? ??? ??????,legal
744,We’re still waiting for solutions.,??? ?? ???? ????? ?? ??? ????,legal
745,"The City Attorney’s office shut down community court, picked fights with elected judges, allowed prosecution times for drunk driving to balloon to 85 days, did nothing in the face of unconstitutional executive orders, and failed to create the safer and more compassionate city they promised to create.",?? City Attorney ?? ?? ???? ?? ??? ?????? ???? ?? ????? ??? ????? ?? ???? ???? ??? ??? 85 ????? ???? ???? ???? ?????? ???? ????? ?? ?????? ???? ??? ???? ?? ???? ?? ????? ??? ???? ????? ??? ????? ?? ???????,legal
746,"I’ve spent my career fighting for workers, ensuring fair access to our legal system, and being a proactive collaborator.",?? ?? ????? ???????? ????? ???? ?????? ????? ????? ?????? ??? ????? ????? ??? ???,legal
747,I’m prepared to lead a City Attorney’s office that pushes for solutions to the problems facing Seattle.,Seattle ?????? ???? ???? ???? ?? City Attorney ?? ???? ????? ??? ???,legal
748,"I will bring back community court with improved tracking to offer a chance to escape the cycle of crime, speed up prosecution of domestic violence and drunk driving so we stop waiting for re-offenses to occur, enforce strong labor standards to protect workers from bad treatment at work, and create a competent city attorney’s office - focused on governing well.",?? ??? ????? ??? ????? ?? ?????? ?? ??? ??? ????? ??? ?? ??? ???? ???? ???? ???? ???? ???? ??? ????? ?? ?? ??? ???? ?????? ??? ???? ??? ????? ???? ???? ???? ??? ???????? ?? ?? ??? ?? ???? ?????? ???? ????? ?? ?????? ?? ??? ????? ???? ??? ?? city attorney ?? ???? ???? ???,legal
749,"Endorsements: Insurance Commissioner Patty Kuderer, State Senator Rebecca Saldaña, State Representatives Chipalo Street and Sharon Tomiko Santos, Former City Councilmembers Tammy Morales and Mike O’Brien, Seattle Dispatchers’ Guild, and more.","????? ????? ???? Patty Kuderer? ??? ??? Rebecca Saldaña? ???? ????? Chipalo Street ?? Sharon Tomiko Santos? ???? ?? ??? ??? ??? Tammy Morales ?? Mike O’Brien, Seattle Dispatchers’ Guild ???? ????",legal
750,This candidate is participating in the Democracy Voucher Program.,?? ??? ?? ????? ????? ???? ???? ???,legal
