id,english,tigrinya,domain
440,"Refugee Support Services funding helps refugees and other ORR populations gain economic independence by heling them find and maintain employment, preferably within a year of being enrolled in the program.{/t1}",ምወላ Refugee Support Services ንስደተኛታትን ካልኦት ህዝብታት ORRን ስራሕ ንኽረኽቡን ንኽዕቅቡን ብምሕጋዝ ቁጠባዊ ናጽነት ንኽረኽቡ ይሕግዞም፣ እንተተኻኢሉ ኣብቲ መደብ ካብ ዝተመዝገቡ ኣብ ውሽጢ ሓደ ዓመት።{/t1},legal
441,{b1}PUBLIC ASSISTANCE:{/b1}{t1},{b1}PUBLIC ASSISTANCE፦{/b1}{t1},legal
442,"You and your family members may also receive public benefits, as eligible.",ከም ብቑዓትመጠን፣ንስኻን ኣባላት ስድራቤትካን እውን ህዝባዊ ሓገዛት ክትረኽቡ ትኽእሉ ኢኹም።,legal
443,"If are receiving public benefit, you are required to report to FSSA/DFR of any household circumstance changes within 10 days.",ህዝባዊ ረብሓ ትረኽቡ እንተኾይንኩም፣ ዝኾነ ናይ ገዛ ኩነታት ለውጢ ኣብ ውሽጢ 10 መዓልታት ናብ FSSA/DFR ክትሕብሩ ትግደዱ።,legal
444,This is FSSA/DFR contact number.,እዚ ናይ FSSA/DFR መራኸቢ ቁጽሪ እዩ።,legal
445,1800-403-0864.{/t1},1800-403-0864።{/t1},legal
446,"{b1}TRAVEL LOAN:{/b1}{t1} As a reminder, refugees and SIVs are responsible to make payments towards their IOM Transportation Loan until the loan is paid in full.",{b1}TRAVEL LOAN፦{/b1}{t1} ከም መዘኻኸሪ፣ ስደተኛታትን SIVsን ክሳብ እቲ ልቓሕ ምሉእ ብምሉእ ዝኽፈል ናብ ናይ IOM Transportation Loan ገጾም ክፍሊት ክገብሩ ሓላፍነት ኣለዎም።,legal
447,You will receive a notification letter within five to six months of your date of arrival to begin making payments.,ክፍሊት ንምጅማር ካብ ዝመጻእካሉ ዕለት ጀሚሩ ኣብ ውሽጢ ሓሙሽተ ክሳብ ሽዱሽተ ኣዋርሕ ናይ ሓበሬታ ደብዳበ ክመጸካ እዩ።,legal
448,"IOM Transportation Loan payments can be completed online, or payments can be mailed to the following addresses:{/t1}",ክፍሊት IOM Transportation Loan ብመርበብ ሓበሬታ ክዛዘም ይኽእል፣ ወይ ድማ ክፍሊት ናብዞም ዝስዕቡ ኣድራሻታት ብፖስታ ክለኣኽ ይኽእል፦{/t1},legal
449,Church World Service/IRP+,Church World Service/IRP+,legal
450,"475 Riverside Dr. STE 700 New York, NY 10115",475 Riverside Dr. STE 700 New York፣ NY 10115,legal
451,"For more information on repaying your IOM Travel Loan, please see below:",ንተወሳኺ ሓበሬታ ብዛዕባናትካ ምምላስ IOM Travel Loan፣ ኣብ ታሕቲ ርአ፦,legal
452,{t1}IOM Transportation Loan: {/t1}{a1}{a2}https://usr{/a2}{f1/}{a3}a{/a3}{f2/}{a4}p.iom.int/travel-loans{/a4}{/a1},{t1}IOM Transportation Loan፦ {/t1}{a1}{a2}https://usr{/a2}{f1/}{a3}a{/a3}{f2/}{a4}p.iom.int/travel-loans{/a4}{/a1},legal
453,CWS Travel Loan Department:,CWS Travel Loan Department፦,legal
454,{t1}Payments:{/t1} {a1}https://cwsglobal.org/our-work/north-america/travel-loan-services/{/a1},{t1}ክፍሊት፦{/t1} {a1}https://cwsglobal.org/our-work/north-america/travel-loan-services/{/a1},legal
455,"{t1}Phone: 1-866-723-9579 | Email: {/t1}{a1}travelloans@cwsglobal.org,{/a1}",{t1}ቴሌፎን፦ 1-866-723-9579 | ኢመይል፦ {/t1}{a1}travelloans@cwsglobal.org፣{/a1},legal
456,{b1}STATUS ADJUSTMENT:{/b1}{t1},{b1}STATUS ADJUSTMENT፦{/b1}{t1},legal
457,Please remember you will need to adjust your status with United States Citizenship and Immigration Services (USCIS) one year after your date of arrival to obtain Permanent Residency in the United States.,በጃኹም ኣብ ኣሜሪካ ቀዋሚ መንበሪ ንምርካብ ድሕሪ ሓደ ዓመት ካብ ዝመጻእኩምሉ ዕለት ምስ ኣገልግሎት ዜግነትን ኢሚግሬሽንን ሕቡራት መንግስታት ኣመሪካ (USCIS) ኩነታትኩም ከተመዓራርዩ ከምዘድልየኩም ኣይትረስዑ።,legal
458,"If you require assistance to adjust your status or other legal immigration services, please contact Exodus Refugee- Indianapolis (317-921-0836).",ኩነታትካ ወይ ካልእ ሕጋዊ ኣገልግሎት ኢሚግሬሽን ንምትዕርራይ ሓገዝ ምስ እትደሊ፣ በጃኻ ንExodus Refugee- Indianapolis (317-921-0836) ተወከስ።,legal
459,"It is very important that you adjust your status to that of legal permanent resident (green card) in a timely manner, failure to do so may cause delays to other immigration benefits including family reunification.  {/t1}",ኩነታትካ ምስ ናይ ሕጋዊ ቀዋሚ ነባሪ (ግሪን ካርድ) ኣብ እዋኑ ከተመዓራርዮ ኣዝዩ ኣገዳሲ እዩ፣ ከምኡ ዘይምግባርካ ንኻልኦት ናይ ኢሚግሬሽን ሓገዛት ሓዊሱ ምጥርናፍ ስድራቤት ምድንጓይ ከስዕብ ይኽእል። {/t1},legal
460,"{t1}Prior to adjusting status to Permanent Residency, refugees are unable to travel outside the United States and re-enter with refugee status.",{t1}ቅድሚ ኩነታት ናብ ቀዋሚ መንበሪ ምትዕርራይ፣ ስደተኛታት ካብ ኣሜሪካ ወጻኢ ክጓዓዙን ደረጃ ስደተኛ ሒዞም ዳግማይ ክኣትዉን ኣይክእሉን እዮም።,legal
461,"If you must travel {/t1}{f1/}{t2}for{/t2}{f2/}{t3} an emergency, please contact the Exodus legal team to speak to them about your options.  {/t3}",ንህጹጽ ኩነታት {/t1}{f1/}{t2}ን{/t2}{f2/}{t3} ክትገይሽ እንተድኣ ኣለካ፡ በጃኻ ምስ ናይ Exodus ሕጋዊ ጉጅለ ተራኸብ ብዛዕባ ኣማራጺታትካ ክትዛረቦም። {/t3},legal
462,{b1}FAMILY REUNIFICATION:{/b1}{t1},{b1}FAMILY REUNIFICATION፦{/b1}{t1},legal
463,"Exodus Refugee - Indianapolis may be able to provide family reunification support to your family members, as eligible.",Exodus Refugee - Indianapolis ከም ብቑዓት፣ንኣባላት ስድራቤትካ ናይ ምጥርናፍ ስድራቤት ደገፍ ክትህብ ትኽእል ትኸውን ።,legal
464,Please contact 317-921-0836 if you have questions on family reunification eligibility and application completion. {/t1},ብዛዕባ ብቑዕነት ምጥርናፍ ስድራቤትን ምምላእ መመልከቲን ሕቶታት ምስ ዝህልወኩም ብቑጽሪ ስልኪ 317-921-0836 ተወከሱ። {/t1},legal
465,{b1}CHANGE OF ADDRESS:,{b1}ናይ ኣድራሻ ለውጢ፦,legal
466,"{/b1}{t1}If you and your family decide to move to a new address, please remember to complete the following: {/t1}",{/b1}{t1}ንስኻን ስድራቤትካን ናብ ሓድሽ ኣድራሻ ክትግዕዙ እንተ ወሲንኩም፣ ነዞም ዝስዕቡ ክትመልኡ ኣይትረስዑ፦ {/t1},legal
467,Complete and submit an AR-11 form to USCIS,ቕጥዒ AR-11 ናብ USCIS ምምላእን ምርካብን,legal
468,Complete and submit a change of address form with the U.S.,ናይ ኣድራሻለውጢ ካብ ኣሜሪካምምላእን ምርካብን።,legal
469,Postal Service (USPS),Postal Service (USPS),legal
470,"{t1}Complete and submit a change of address with the Selective Service Registry, as eligible, at {/t1}{a1}https://www.sss.gov/verify/update-info/{/a1}",{t1}ናይ ኣድራሻ ለውጢ ንምምላእን ኣብ Selective Service Registry ከም ብቑዕ ንምቕራብን፣ኣብ {/t1}{a1}https://www.sss.gov/verify/update-info/ ተወከሱ{/a1},legal
471,Contact the CWS Travel Loan Department to update your address.,ኣድራሻኹም ንምሕዳስ ምስ Travel Loan Department CWS ተወከሱ።,legal
472,Contact the local welfare office to cancel active public benefits.,ንጡፍ ህዝባዊ ረብሓታት ንምእላይ ምስ ናይ ከባቢኻ ማሕበራዊ ቤት ጽሕፈት ርክብ ግበር።,legal
473,{b1}SELECTIVE SERVICE REGISTRATION:{/b1}{t1},{b1}SELECTIVE SERVICE REGISTRATION፦{/b1}{t1},legal
474,All males between the ages of 18 and 25 are required to register with the Selective Service.,ኩሎም ካብ 18 ክሳብ 25 ዓመት ዝዕድሚኦም ደቂ ተባዕትዮ ኣብ Selective Service ክምዝገቡ ይግደዱ።,legal
475,"Failure to register, may result in denial of U.S. citizenship, federal loans, employment and job training.",ዘይምምዝጋብ፣ ዜግነት ኣሜሪካ፣ ፈደራላዊ ልቓሕ፣ ስራሕን ስልጠናን ክኽልከል ይኽእል እዩ።,legal
476,"All U.S. male citizens, including non-citizens living the U.S., are required to register with Selective Service upon turning 18 years old.",ኩሎም ደቂ ተባዕትዮ ዜጋታት ኣሜሪካ፣ እንተላይ ኣብ ኣሜሪካ ዝነብሩ ዜጋታትዘይኮኑ፣ ዕድሚኦም 18 ዓመት ምስ መልኡ ኣብ Selective Service ክምዝገቡ ይግደዱ።,legal
477,Please visit {/t1}{a1}https://www.sss.gov/register/who-needs-to-register/{/a1}{t2} for more information on completing Selective Service Registration. {/t2},በጃኹም ብዛዕባ ምምዝጋብ Selective Service ተወሳኺ ሓበሬታ ንምርካብ {/t1}{a1}https://www.sss.gov/register/who-needs-to-register/{/a1}{t2} ተወከስ። {/t2},legal
478,It was a pleasure to serve you during the R&P Program and we wish you a successful resettlement journey.,ኣብቲ ናይ R&P Program ንዓኹም ምግልጋል ባህ ዘብል እዩ ነይሩ፣ ኣብ ዳግመ ሰፈራኹም ድማ ዕዉት ጉዕዞ ይግበረልኩም ንብል።,legal
479,"Sincerely,",ብኽብሪ፣,legal
480,Case Manager,ሓላፊ ጉዳይ,legal
481,"Exodus Refugee Immigration, Inc.",Exodus Refugee Immigration፣ Inc.,legal
482,2457 E.,2457 E.,legal
483,"Washington Street, Suite A, Indianapolis, IN 46201",Washington Street፣ Suite A፣ Indianapolis፣ IN 46201,legal
484,Office: 317-921-0836,ቤት-ፅሕፈት፦ 317-921-0836,legal
485,0x010100EDFC0C4030F74D41BCD9B3D0988C5AD6,0x010100EDFC0C4030F74D41BCD9B3D0988C5AD6,legal
486,Updated 1.21.2025,ብ1.21.2025 ዝተመሓየሸ,legal
487,Immigration Legal Resources,Immigration Legal Resources (ናይ ኢሚግሬሽን ሕጋዊ ረድኤት),legal
488,<1>ACLU of Massachusetts:</1> For questions about your constitutional rights,<1>ናይ Massachusetts ACLU፦</1> ብዛዕባ ሕገ መንግስታዊ መሰላትኩም ዝምልከት ሕቶታት,legal
489,Call 617-482-3170,ናብ 617-482-3170 ደውሉ,legal
490,Website: <1>Seek Legal Assistance | ACLU Massachusetts</1>,መርበብ ሓበሬታ፦ ናይ ሕጊ ሓገዝ <1>ናይ ሕጊ ሓገዝ ንምርካብ | ACLU Massachusetts</1>,legal
491,Cambridge DeNovo Legal Screening Clinic,Cambridge DeNovo Legal Screening Clinic (Cambridge DeNovo ምስ ሕጊ ዝተተሓሓዘ ኣገልግሎት ምኽሪ ዝወሃበሉ ክሊኒክ),legal
492,Call 617-405-5479 and leave your name and contact number,ስምኩምን ርክብ ሓበሬታኹምን ናብ 617-405-5479 ብምድዋል ግደፉ,legal
493,You will receive a call from a volunteer immigration attorney within a month,ኣብ ውሽጢ ሓደ ወርሒ ካብ ሓደ ካብቶም ወለንታዊ ኣገልግሎት ዝህቡ ዘለዉ ጠበቓታት ኢሚግሬሽን ስልኪ ክድወለኩም እዩ,legal
494,Catholic Charities Immigrant Services,Catholic Charities Immigrant Services (ካቶሊካዊ ግብረ ሰናይ ኣገልግሎት ስደተኛታት),legal
495,Call 617-464-8100,ናብ 617-464-8100 ደውሉ,legal
496,Website: <1>https://www.ccab.org/refugee-immigrant-services/</1>,መርበብ ሓበሬታ፦ <1>https://www.ccab.org/refugee-immigrant-services/</1>,legal
497,<1>Committee for Public Counsel Services:</1> legal representation for those unable to afford an attorney in all matters in which the law requires the appointment of counsel,<1>Committee for Public Counsel Services (ኮሚቴ ኣገልግሎት ተጣበቕቲ ህዝቢ)፦</1> ኣብ ቅድሚ ሕጊ ጠበቓ ዘድልዮም ግን ከኣ ናይ ጠበቓ ክፍሊት ክኸፍሉ ዘይክእሉ ውልቀ ሰባት ሕጋዊ ጠበቓ ዝህብ,legal
498,Call 617-482-6212,ናብ 617-482-6212 ደውሉ,legal
499,Website: <1>Committee for Public Counsel Services</1>,መርበብ ሓበሬታ፦ <1>Committee for Public Counsel Services</1>,legal
500,Greater Boston Legal Services,Greater Boston Legal Services (ናይ Greater Boston ወሃብቲ ኣገልግሎት ሕጊ),legal
501,Call 617-371-1234,ናብ 617-371-1234 ደውሉ,legal
502,Website: <1>https://www.gbls.org/get-legal-help </1>,መርበብ ሓበሬታ፦ <1>https://www.gbls.org/get-legal-help</1>,legal
503,<1>Kids In Need of Defense (KIND):</1> Represents kids under age 17.5 years,<1>Kids In Need of Defense (KIND፣ ሕጋዊ ሓገዝ ንዝደልዩ ህጻናት)፦</1> ትሕቲ 17.5 ዓመት ዝዕድሚኦም ህጻናት ዝውክል,legal
504,Call: 617-207-4138,ናብ፦ 617-207-4138 ደውሉ,legal
505,Website: <1>https://supportkind.org/ </1>,መርበብ ሓበሬታ፦ <1>https://supportkind.org/ </1>,legal
506,<1>Lawyers for Civil Rights (LCR) Immigrant Defense Hotline: </1>legal advice for immigrants facing imminent threats related to immigration enforcement,<1>Lawyers for Civil Rights (LCR) Immigrant Defense Hotline (ናይ ሰብኣዊ መሰላት ስደተኛታት ተጣባቒ ኣገልግሎት ቁጽሪ ተሌፎን)፦ </1>ምስ ምትግባር ኢሚግሬሽን ዝተኣሳሰር ህጹጽ ሕጋዊ ብድሆታት ንዘጋጥሞም ስደተኛታት ሕጋዊ ምኽሪ ዝህብ,legal
507,Call 617-988-0606 and leave a message,ናብ 617-988-0606 ደውሉ ከምኡ’ውን መልአክቲ ኣቐምጡ,legal
508,You will get call back the same day,ኣብታ መዓልቲ እቲኣ መሊስና ኽንድውለልኩም ኢና,legal
509,Website: <1>Immigrant Rights</1>,መርበብ ሓበሬታ፦ <1>መሰላት ስደተኛ</1>,legal
510,MA Immigrant and Refugee Advocacy Coalition (MIRA),MA Immigrant and Refugee Advocacy Coalition (MIRA፣ MA ጥምረት ተጣበቕቲ ስደተኛታት),legal
511,Website: <1>Know your rights - MIRA Coalition</1>,መርበብ ሓበሬታ፦ <1>መሰላትኩም ፍለጡ- MIRA Coalition</1>,legal
512,<1>PAIR Project:</1> Helps with detained immigration cases and asylum,<1>PAIR Project፦</1> ኣብ ጉዳይ ኢሚግሬሽንን ናይ ዑቕባ ማእሰርትን ዙርያ ሓገዝ ይህብ,legal
513,Call 617-742-9296,ናብ 617-742-9296 ደውሉ,legal
514,Website: <1>Get Help – PAIR Project</1>,መርበብ ሓበሬታ፦ <1>ሓገዝ ይርከቡ - PAIR Project</1>,legal
515,<1>Project Citizenship:</1> For assistance with applying for citizenship,<1>Project Citizenship፦</1> ኣብ ናይ ዜግነት መመልከቲ ዙርያ ሓገዝ ንምርካብ,legal
516,Call 617-694-5949,ናብ 617-694-5949 ደውሉ,legal
517,Website: <1>Citizenship Services</1>,መርበብ ሓበሬታ፦ <1>ኣገልግሎት ዜግነት</1>,legal
518,"<1>RIAN Immigrant Center:</1>  legal consultations over the phone to ask questions, receive advice, and learn what immigration options are available",<1>RIAN Immigrant Center (ማእከል ስደተኛታት)፦</1> ሕቶታት ንምሕታት፣ ምኽሪ ንምቕባልን ብዛዕባ ዝርከቡ ኣማራጺታት ኢሚግሬሽን ንምፍላጥን ብተሌፎን ሕጋዊ ምኽሪ ዝህብ ኣማኻሪ ሕጊ,legal
519,Call 617-542-7654,ናብ 617-542-7654 ደውሉ,legal
520,Website: <1>Immigration Legal Services - Rian Immigrant Center</1>,መርበብ ሓበሬታ፦ <1>ኣገልግሎት ሕጊ ኢሚግሬሽን - Rian Immigrant Center</1>,legal
521,<1>Massachusetts </1>Office of the Attorney General<2>: </2><3>Immigration resources/ Civil Rights</3>,<1>Massachusetts </1>Office of the Attorney General (ናይ Massachusetts ቤት ጽሕፈት ዋና ዓቃቢ ሕጊ)<2>፦ </2><3>ሓበሬታ ኢሚግሬሽን/ሰብኣዊ መሰላት</3>,legal
522,To report the unauthorized practice of law/immigration fraud call <1>617</1>-<2>963-2917</2>,ፍቓድ ዘይብሉ ሕጋዊ ኣገልግሎት/ምጭብርባር ኢሚግሬሽን ሪፖርት ንምግባር ናብ <1>617</1>-<2>963-2917</2> ደውሉ,legal
523,To report a hate crime<1> call </1>1-800-994-3228,ናይ ጽልኢ ገበን ሪፖርት ንምግባር ናብ 1-800-994-3228<1> ደውሉ</1>,legal
524,"<1>To report </1>bias-motivated threats, harassment or violence submit a report at <2>Multilingual Combatting Hate PSAs | Mass.gov</2>",ኣብ ጽልኢ ወይ ጽልኢ ዝተመርኮሰ ምፍርራሕ፣ ምግፋዕ ወይ መጥቃዕቲ <1>ሪፖርት ንምግባር ናብ </1><2>Multilingual Combatting Hate PSAs | Mass.gov</2> መርበብ ሓበሬታ ይኺዱ,legal
525,Legal Services Directory in Massachusetts:,Legal Services Directory in Massachusetts (ኣብ Massachusetts ውሽጢ ዝርከቡ ናይ ሕጊ ኣገልግሎት ኣቕረብቲ መወከሲ)፦,legal
526,Massachusetts Legal Resource Finder: <1>https://masslrf.org/en/home </1>,Massachusetts Legal Resource Finder (ናይ Massachusetts ሕጋዊ ሓበሬታ መርከቢ)፦ <1>https://masslrf.org/en/home </1>,legal
527,Immigration court list of legal services: <1>https://www.justice.gov/eoir/file/ProBonoMA/download </1>,ዝርዝር ሕጋዊ ኣገልግሎት ቤት ፍርዲ ኢሚግሬሽን፦ <1>https://www.justice.gov/eoir/file/ProBonoMA/download </1>,legal
528,City of Boston free consultations: <1>City of Boston Immigration Clinic | Massachusetts Legal Resource Finder</1>,ናይ Boston ምምሕዳር ከተማ ነጻ ናይ ምኽሪ ኣገልግሎት፦ <1>City of Boston Immigration Clinic | Massachusetts Legal Resource Finder</1>,legal
529,Legal Services Directory Outside of Massachusetts:,ካብ Massachusetts ወጻኢ ዝርከቡ ወሃብቲ ሕጋዊ ኣገልግሎት መወከሲ፦,legal
530,Immigration Advocates Network Legal Directory: <1>National Immigration Legal Services Directory</1>,Immigration Advocates Network Legal Directory (ሕጋዊ መወከሲ ናይ ስደተኛታት ተጣበቕቲ ጉጅለ)፦ <1>National Immigration Legal Services Directory (ሃገራዊ ናይ ኢሚግሬሽን ናይ ሕጋዊ ኣገልግሎት ወሃብቲ መወከሲ)</1>,legal
531,Immigration Legal Resources Handout,ናይ ኢሚግሬሽን ሕጊ ሓገዝ መወከሲ ወረቐት,legal
532,Make your voice matter in Seattle's elections,ድምጽኹም ኣብ መረጻ Seattle ከም ዝስማዕ ኣረጋግጹ,legal
533,Democracy Vouchers are a way for Seattle residents to make financial contributions to candidates they support in Seattle City elections.,ዲሞክራሲ ቫውቸር ነበርቲ Seattle ኣብ መረጻ ከተማ Seattle ንዝድግፍዎም ሕጹያት ገንዘባዊ ኣበርክቶ ዝገብሩሉ መንገዲ እዩ።,legal
534,"The program is funded by a voter-approved property tax, costing the average property owner about $8 per year.<1><2>",እዚ መደብ ብመራጽቲ ብዝጸደቐ ግብሪ ንብረት ዝምወል ኮይኑ፣ ነፍሲ ወከፍ ወናኒ ንብረት ኣብ ዓመት ኣስታት 8 ዶላር ኣብዚ መደብ የውጽእ።<1><2>,legal
535,<1>What is a Democracy Voucher?</1><2>The City of Seattle provides Democracy Vouchers to residents.,<1>ቫውቸር ዲሞክራሲ እንታይ እዩ?</1><2>ዲሞክራሲ ቫውቸር ንነበርቲ ብቤት ምኽሪ ከተማ Seattle ይወሃብ።,legal
536,Democracy Vouchers are certificates valued at $25 each that Seattle residents use to donate to local campaigns.,ዲሞክራሲ ቫውቸራት ነፍሲ ወከፎም 25 ዶላር ዝዋግኡ ምስክር ወረቐት ኮይኖም፣ ነበርቲ Seattle ንናይ ከባቢ መረጻ ጎስጓሳት ገንዘብ ንምውፋይ ክጥቀሙሉ ይኽእሉ።,legal
537,<1>Why use Democracy Vouchers?</1><2>Your participation makes an impact.,<1>ንምንታይ ኢና ናይ ዲሞክራሲ ቫውቸር ንጥቀም?</1><2>ተሳትፎኹም ለውጢ የምጽእ እዩ።,legal
538,The Democracy Voucher Program has helped to increase and diversify the number of Seattle residents who are able to donate to campaigns and run for office.,ፕሮግራም ቫውቸር ዲሞክራሲ ቁጽርን ብዙሕነትን ነበርቲ Seattle ንጎስጓስ መረጻ ገንዘብ ከወፍዩን ንቤት ጽሕፈት ክወዳደሩን ዝኽእሉ ንኽዓቢ ሓጊዙ እዩ።,legal
539,Which candidates can receive Democracy Vouchers?,ኣየኖት ሕጹያት እዮም ናይ ዲሞክራሲ ቫውቸር ክረኽቡ ዝኽእሉ?,legal
540,"<1>Only participating candidates running for City Council, City Attorney, or Mayor in Seattle can accept your vouchers to support their campaigns.",<1>ኣብ Seattle ንCity Council፣ City Attorney ወይ Mayor ዝወዳደሩ ሕጹያት ጥራይ እዮም ንወፍሪኦም ንምድጋፍ ቫውቸርኩም ክቕበሉ ዝኽእሉ።,legal
541,How do I learn about the candidates?,ብዛዕባ እቶም ሕጹያት ብኸመይ ክፈልጥ ይኽእል?,legal
542,<1>Find a participating candidate on the <2>participating candidates page</2>.,<1>ናብ <2>ናይ ተሳታፍቲ ሕጹያት ገጽ</2> ተሳተፍቲ ሕጹያት ብምእታው ርኸብዎም።,legal
543,Read their <1>Candidate Introductions</1> to learn more about the candidates.,ስለ ሕጹያት ተወሳኺ ሓበሬታ ንምፍላጥ <1>ናይ ሕጹያት መፋለጢታት</1> ያንብቡ።,legal
544,<1>When is the next City of Seattle election?</1><2>The next City of Seattle election is in 2025.,<1>ዝቕጽል ምርጫ ምምሕዳር ከተማ Seattle መዓስ እዩ?</1><2>ዝቕጽል መረጻ ምምሕዳር ከተማ Seattle ኣብ 2025 ዓ.ም ይካየድ።,legal
545,"Democracy Vouchers can be used from the time you receive them through November 29, 2025.",እቶም ናይ ዲሞክራሲ ቫውቸራት ካብታ ዝረኸብኩምሉ ዕለት ጀሚርኩም ክሳብ 29 ኖቬምበር 2025 ክትጥቀሙ ትኽእሉ ኢኹም።,legal
546,You can get Democracy Vouchers if you are:,እዞም ዝስዕቡ ረቛሒታት ምስ እተማልኡ ዲሞክራሲ ቫውቸር ክትቅበሉ ትኽእሉ ኢኹም፤,legal
547,"A Seattle resident,",ናይ Seattle ነባሪ ምዃን፣,legal
548,"At least 18 years of age, and",እንተወሓደ ዕድሜኹም 18 ዓመት ክኸውን ኣለዎን,legal
549,"A U.S. citizen, U.S. national, or lawful permanent resident.",ናይ U.S. ዜጋ፣ ናይ U.S. ናሽናል ወይ ሕጋዊ ቀዋሚ ነባሪ (ግሪን ካርድ ዝሓዙ) ምዃን።,legal
550,You do not have to be a registered voter to receive Democracy Vouchers.,ናይ ዲሞክራሲ ቫውቸር ንምርካብ ግድን ምዝጉብ መራጺ ክትከውን ትጽቢት ኣይግበረልኩምን።,legal
551,"If you meet the criteria listed above, you may apply to receive vouchers.",ኣብ ላዕሊ ተዘርዚሮም ዘለዉ ረቛሒታት እንተ ኣማሊእኩም፣ ንቫውቸር ከተመልክቱ ትኽእሉ ኢኹም።,legal
552,"If you have any questions, please call <1>(206) 727-8855</1>.",ዝኾነ ዓይነት ሕቶ ምስ ዝህልወኩም በጃኹም ናብ <1>(206) 727-8855</1>ደውሉ።,legal
553,Free language interpretation service is available.,ብነጻ ዝቐርብ ናይ ቋንቋ ትርጉም ኣገልግሎት ምርካብ ይከኣል።,legal
554,You may download or print these materials to share with your community.,ነዞም ናውቲታት እዚኦም ኣውሪድኩም ንማሕበረሰብኩም ከተካፍሉዎም ወይ’ውን ክትሓትምዎም ትኽእሉ ኢኹም።,legal
555,Democracy Voucher Application,ናይ ዲሞክራሲ ቫውቸር መመልከቲ,legal
556,Resident Brochure,ናይ ነባሪ ብሮሹር,legal
557,Resident Flyer,ናይ ነባሪ በራሪ ወረቐት,legal
558,Candidate Flyer,ናይ ሕጹይ በራሪ ወረቐት,legal
559,DVP Poster,ናይ DVP ፖስተር,legal
560,Replacement Request Form,ናይ መተካእታ ሕቶ ቅጥዒ,legal
561,Top 10 Questions and Answers About Service Animals,ብዛዕባ ኣገልግሎት ዝህቡ እንስሳታት ዝምልከቱ 10 ቐንዲ ሕቶታትን መልስታትን,legal
562,What is a service animal?,ኣገልግሎት ዝህብ እንስሳ እንታይ እዩ?,legal
563,"A service animal does work, or performs tasks, or provides medically necessary support for a person with a disability.",ኣገልግሎት ዝህብ እንስሳ፣ ስራሕ ዚዓዪ፣ ዝተወሰኑ ዕማማት ዝፍጽም ወይ ከኣ ንሓደ ስንኩል ሰብ ሕክምናዊ ሓገዝ ዚህብ እንስሳ እዩ።,legal
564,Is a service animal a pet?,ኣገልግሎት ዝህብ እንስሳ ከም እንስሳ ዘቤት ድዩ?,legal
565,No. A service animal the definition of service animal is broad.,ኣይኮነን። ትርጉም ናይ ኣገልግሎት ዝህብ እንስሳ ሰፊሕ እዩ።,legal
566,"Do service animals include therapy, emotional support, and companion animals?",እቶም ኣገልግሎት ዝህቡ እንስሳታት ምድብ ቴራፒ፣ ስምዒታዊ ደገፍን ምቹኡነት ዝህቡ እንስሳታትን የጠቓልል ድዩ?,legal
567,Yes.,እወ።,legal
568,"In Seattle, a service animal can include therapy, emotional support, and companion animals.",ኣብ Seattle ዝርከብ ምድብ ኣገልግሎት ዝህቡ እንስሳታት፣ ቴራፒ፣ ስምዒታዊ ደገፍ፣ ከምኡ’ውን እንስሳ ዘቤትን ምቹኡነት ዝህቡ እንስሳታትን የጠቓልል።,legal
569,Is a service animal required to have visible or special identification or certification?,ሓደ ኣገልግሎት ዝህብ እንስሳ ብንጹር ዝርአ ወይ ፍሉይ መለለዪ ወይ ምስክር ወረቐት ክህልዎ ኣድላዪ ድዩ?,legal
570,"No. While some animals wear a vest or special identification, it is not required in Seattle.",ኣየድልን። ገለ ኣገልግሎት ዝህቡ እንስሳታት መዕቆቢ ኣኽላባት ወይ ፍሉይ መለለዪ ምልክት ይሕዙ፣ እዚ ግን ኣብ Seattle ግዴታ ኣይኮነን።,legal
571,Can a service animal be any breed or size?,ኣገልግሎት ዝህብ እንስሳ ዝኾነ ዓይነት ናይ እንሰሳ ዓሌት ወይ ዓቐን ዘለዎ ክኸውን ይኽእል ድዩ?,legal
572,Yes.,እወ።,legal
573,"If the service animal is a dog, it may be any breed or size.",እቲ ኣገልግሎት ዝህብ እንስሳ ከልቢ እንተኾይኑ፣ እቲ ከልቢ ዝኾነ ዓሌት ወይ ዓቐን ክኸውን ይኽእል።,legal
574,Who is responsible for a service animal’s care and supervision?,ኣገልግሎት ዝህብ እንስሳ ናይ ክንክንን ምክትታልን ሓላፍነት ዝወስድ መን እዩ?,legal
575,The service animal owner must have control of their service animal and is responsible for any damages caused by the service animal.,ወናኒ ናይቲ ኣገልግሎት ዝህብ እንስሳ ነቲ ናይ ኣገልግሎት እንስሳ ክቆጻጸሮን በቲ ናይ ኣገልግሎት እንስሳ ንዝበጽሖ ዝኾነ ይኹን ጉድኣት ሓላፍነት ክወስድን ኣለዎ።,legal
576,May I have more than one service animal?,ካብ ሓደ ንላዕሊ ኣገልግሎት ዝህብ እንስሳ ክህልወኒ ይኽእል ድዩ?,legal
577,Yes.,እወ።,legal
578,A person may need more than one service animal for each disability-related need.,ሓደ ውልቀሰብ ንነፍሲ ​​ወከፍ ምስ ዝነብረሉ ስንክልና ኣገልግሎታት ክህቦ ዝኽእል ካብ ሓደ ንላዕሊ እንስሳ ክህልዎ ይኽእል።,legal
